Enum,VKCode,Description,JsName
VK_BACK,0x08,BACKSPACE key,Backspace
VK_TAB,0x09,TAB key,Tab
VK_CLEAR,0x0C,CLEAR key,
VK_RETURN,0x0D,ENTER key,Enter
VK_PAUSE,0x13,PAUSE key,Pause
VK_CAPITAL,0x14,CAPS LOCK key,CapsLock
VK_KANA,0x15,IME Kana mode,
VK_HANGUEL,0x15,IME Hanguel mode (maintained for compatibility; use VK_HANGUL ),
VK_HANGUL,0x15,IME Hangul mode,
VK_IME_ON,0x16,IME On,aaaaaaa
VK_JUNJA,0x17,IME Junja mode,
VK_FINAL,0x18,IME final mode,
VK_HANJA,0x19,IME Hanja mode,
VK_KANJI,0x19,IME Kanji mode,
VK_IME_OFF,0x1A,IME Off,
VK_ESCAPE,0x1B,ESC key,Escape
VK_CONVERT,0x1C,IME convert,
VK_NONCONVERT,0x1D,IME nonconvert,
VK_ACCEPT,0x1E,IME accept,
VK_MODECHANGE,0x1F,IME mode change request,
VK_SPACE,0x20,SPACEBAR,Space
VK_PRIOR,0x21,PAGE UP key,PageUp
VK_NEXT,0x22,PAGE DOWN key,PageDown
VK_END,0x23,END key,End
VK_HOME,0x24,HOME key,Home
VK_LEFT,0x25,LEFT ARROW key,ArrowLeft
VK_UP,0x26,UP ARROW key,ArrowUp
VK_RIGHT,0x27,RIGHT ARROW key,ArrowRight
VK_DOWN,0x28,DOWN ARROW key,ArrowDown
VK_SELECT,0x29,SELECT key,MediaSelect
VK_PRINT,0x2A,PRINT key,
VK_EXECUTE,0x2B,EXECUTE key,
VK_SNAPSHOT,0x2C,PRINT SCREEN key,PrintScreen
VK_INSERT,0x2D,INS key,Insert
VK_DELETE,0x2E,DEL key,Delete
VK_HELP,0x2F,HELP key,Help
,0x30,0 key,Digit0
,0x31,1 key,Digit1
,0x32,2 key,Digit2
,0x33,3 key,Digit3
,0x34,4 key,Digit4
,0x35,5 key,Digit5
,0x36,6 key,Digit6
,0x37,7 key,Digit7
,0x38,8 key,Digit8
,0x39,9 key,Digit9
,0x41,A key,KeyA
,0x42,B key,KeyB
,0x43,C key,KeyC
,0x44,D key,KeyD
,0x45,E key,KeyE
,0x46,F key,KeyF
,0x47,G key,KeyG
,0x48,H key,KeyH
,0x49,I key,KeyI
,0x4A,J key,KeyJ
,0x4B,K key,KeyK
,0x4C,L key,KeyL
,0x4D,M key,KeyM
,0x4E,N key,KeyN
,0x4F,O key,KeyO
,0x50,P key,KeyP
,0x51,Q key,KeyQ
,0x52,R key,KeyR
,0x53,S key,KeyS
,0x54,T key,KeyT
,0x55,U key,KeyU
,0x56,V key,KeyV
,0x57,W key,KeyW
,0x58,X key,KeyX
,0x59,Y key,KeyY
,0x5A,Z key,KeyZ
VK_LWIN,0x5B,Left Windows key (Natural keyboard),MetaLeft
VK_RWIN,0x5C,Right Windows key (Natural keyboard),MetaRight
VK_APPS,0x5D,Applications key (Natural keyboard),ContextMenu
VK_SLEEP,0x5F,Computer Sleep key,
VK_NUMPAD0,0x60,Numeric keypad 0 key,Numpad0
VK_NUMPAD1,0x61,Numeric keypad 1 key,Numpad1
VK_NUMPAD2,0x62,Numeric keypad 2 key,Numpad2
VK_NUMPAD3,0x63,Numeric keypad 3 key,Numpad3
VK_NUMPAD4,0x64,Numeric keypad 4 key,Numpad4
VK_NUMPAD5,0x65,Numeric keypad 5 key,Numpad5
VK_NUMPAD6,0x66,Numeric keypad 6 key,Numpad6
VK_NUMPAD7,0x67,Numeric keypad 7 key,Numpad7
VK_NUMPAD8,0x68,Numeric keypad 8 key,Numpad8
VK_NUMPAD9,0x69,Numeric keypad 9 key,Numpad9
VK_MULTIPLY,0x6A,Multiply key,NumpadMultiply
VK_ADD,0x6B,Add key,NumpadAdd
VK_SEPARATOR,0x6C,Separator key,
VK_SUBTRACT,0x6D,Subtract key,NumpadSubtract
VK_DECIMAL,0x6E,Decimal key,NumpadDecimal
VK_DIVIDE,0x6F,Divide key,NumpadDivide
VK_F1,0x70,F1 key,F1
VK_F2,0x71,F2 key,F2
VK_F3,0x72,F3 key,F3
VK_F4,0x73,F4 key,F4
VK_F5,0x74,F5 key,F5
VK_F6,0x75,F6 key,F6
VK_F7,0x76,F7 key,F7
VK_F8,0x77,F8 key,F8
VK_F9,0x78,F9 key,F9
VK_F10,0x79,F10 key,F10
VK_F11,0x7A,F11 key,F11
VK_F12,0x7B,F12 key,F12
VK_F13,0x7C,F13 key,F13
VK_F14,0x7D,F14 key,F14
VK_F15,0x7E,F15 key,F15
VK_F16,0x7F,F16 key,F16
VK_F17,0x80,F17 key,F17
VK_F18,0x81,F18 key,F18
VK_F19,0x82,F19 key,F19
VK_F20,0x83,F20 key,F20
VK_F21,0x84,F21 key,F21
VK_F22,0x85,F22 key,F22
VK_F23,0x86,F23 key,F23
VK_F24,0x87,F24 key,F24
VK_NUMLOCK,0x90,NUM LOCK key,NumLock
VK_SCROLL,0x91,SCROLL LOCK key,ScrollLock
VK_LSHIFT,0xA0,Left SHIFT key,ShiftLeft
VK_RSHIFT,0xA1,Right SHIFT key,ShiftRight
VK_LCONTROL,0xA2,Left CONTROL key,ControlLeft
VK_RCONTROL,0xA3,Right CONTROL key,ControlRight
VK_LMENU,0xA4,Left ALT key,AltLeft
VK_RMENU,0xA5,Right ALT key,AltRight
VK_BROWSER_BACK,0xA6,Browser Back key,
VK_BROWSER_FORWARD,0xA7,Browser Forward key,
VK_BROWSER_REFRESH,0xA8,Browser Refresh key,
VK_BROWSER_STOP,0xA9,Browser Stop key,
VK_BROWSER_SEARCH,0xAA,Browser Search key,
VK_BROWSER_FAVORITES,0xAB,Browser Favorites key,
VK_BROWSER_HOME,0xAC,Browser Start and Home key,
VK_VOLUME_MUTE,0xAD,Volume Mute key,
VK_VOLUME_DOWN,0xAE,Volume Down key,
VK_VOLUME_UP,0xAF,Volume Up key,
VK_MEDIA_NEXT_TRACK,0xB0,Next Track key,
VK_MEDIA_PREV_TRACK,0xB1,Previous Track key,
VK_MEDIA_STOP,0xB2,Stop Media key,
VK_MEDIA_PLAY_PAUSE,0xB3,Play/Pause Media key,
VK_LAUNCH_MAIL,0xB4,Start Mail key,
VK_LAUNCH_MEDIA_SELECT,0xB5,Select Media key,
VK_LAUNCH_APP1,0xB6,Start Application 1 key,
VK_LAUNCH_APP2,0xB7,Start Application 2 key,
VK_OEM_1,0xBA,U,BracketRight
VK_OEM_PLUS,0xBB,For any country/region,Minus
VK_OEM_COMMA,0xBC,For any country/region,Comma
VK_OEM_MINUS,0xBD,For any country/region,Slash
VK_OEM_PERIOD,0xBE,For any country/region,Period
VK_OEM_2,0xBF,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard,Backslash
VK_OEM_3,0xC0,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard,Semicolon
VK_OEM_4,0xDB,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard,Equal
VK_OEM_5,0xDC,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard,Backqoute
VK_OEM_6,0xDD,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard,BracketLeft
VK_OEM_7,0xDE,Used for miscellaneous characters; it can vary by keyboard. For the US standard keyboard,Quote
VK_OEM_8,0xDF,Used for miscellaneous characters; it can vary by keyboard.,
VK_OEM_102,0xE2,The <> keys on the US standard keyboard,IntlBackslash
VK_PROCESSKEY,0xE5,IME PROCESS key,